experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_2,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_2,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,1,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_2,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,10,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,2,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_2,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,3,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,4,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,5,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,6,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,7,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_4,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_11,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_18,player_2,1,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_13,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_16,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_15,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_17,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_8,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_3,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_19,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_5,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_7,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_6,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_14,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_9,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,8,N/A,N/A,N/A,Duffy_Feltovich_2002_20,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,9,N/A,N/A,N/A,Duffy_Feltovich_2002_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,9,N/A,N/A,N/A,Duffy_Feltovich_2002_12,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Duffy_Feltovich_2002,1,1,9,N/A,N/A,N/A,Duffy_Feltovich_2002_10,player_1,2,N/A,N/A,N/A,N/A,N/A,0
