experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
Ochs_1995,1,32417,20,N/A,N/A,N/A,Ochs_1995_9,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_3,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_7,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_8,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_2,player_1,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,21,N/A,N/A,N/A,Ochs_1995_9,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_1,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_3,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_4,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_5,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_7,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_1,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_8,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,22,N/A,N/A,N/A,Ochs_1995_9,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_3,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_1,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_4,player_2,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_5,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_6,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_7,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_8,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,23,N/A,N/A,N/A,Ochs_1995_9,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_2,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_3,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_4,player_2,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_5,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_7,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_1,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_8,player_2,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_2,player_1,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,24,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_1,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_3,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_4,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_5,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_6,player_2,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_7,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_8,player_2,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,25,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_1,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_2,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_3,player_2,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_4,player_2,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_5,player_2,0.9,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_6,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_7,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_8,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_2,player_1,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,26,N/A,N/A,N/A,Ochs_1995_9,player_2,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_1,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_1,0.9,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_3,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_4,player_2,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_1,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_5,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_7,player_2,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_8,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_2,player_1,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,27,N/A,N/A,N/A,Ochs_1995_9,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_1,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_1,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_3,player_2,0.2,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_7,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_8,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,28,N/A,N/A,N/A,Ochs_1995_9,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_1,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_3,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_4,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_5,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_7,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_8,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,29,N/A,N/A,N/A,Ochs_1995_9,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_3,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_4,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_5,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_1,0.4,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_7,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_8,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,3,N/A,N/A,N/A,Ochs_1995_9,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_1,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_3,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_4,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_5,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_6,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_7,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_1,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_8,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_2,player_1,0.6,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,30,N/A,N/A,N/A,Ochs_1995_9,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_1,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_3,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_4,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_5,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_6,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_7,player_2,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_8,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_2,player_1,0.9,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,31,N/A,N/A,N/A,Ochs_1995_9,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_1,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_1,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_3,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_4,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_1,0.8,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_5,player_2,0.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_1,0.5,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_6,player_2,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_1,0.7,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_7,player_2,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_8,player_2,0.3,N/A,N/A,N/A,N/A,N/A,0
Ochs_1995,1,32417,32,N/A,N/A,N/A,Ochs_1995_2,player_1,0.9,N/A,N/A,N/A,N/A,N/A,0
